epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,132.12,0.91974,1.7526,1.01843,0.96519,0.82667,0.59988,0.62914,0.3711,0.82667,0.59988,0.6304,0.26334,1.03303,3.05114,1.52198,1.01603,0.00133693,0.00133693,0.00133693
12,140.887,0.96309,1.95508,0.88644,0.98229,0.79368,0.49767,0.61989,0.42592,0.79368,0.49767,0.58323,0.22082,1.05433,2.7418,1.72633,1.00612,0.00130393,0.00130393,0.00130393
13,149.672,0.94677,1.83418,0.90973,0.97286,0.51273,0.63721,0.52031,0.42507,0.51273,0.63721,0.51069,0.20992,0.86923,2.73991,1.25032,0.94674,0.00127092,0.00127092,0.00127092
14,158.529,0.89076,1.6432,0.86881,0.9364,0.61454,0.54419,0.51319,0.34811,0.61454,0.54419,0.50711,0.22122,0.86911,2.67366,1.37044,0.92356,0.00123791,0.00123791,0.00123791
15,167.27,0.88179,1.53876,0.75443,0.94154,0.86509,0.5093,0.62056,0.42857,0.75755,0.52093,0.57653,0.2485,0.90471,2.49358,1.24321,0.96978,0.00120491,0.00120491,0.00120491
16,176.007,0.90171,1.5114,0.75731,0.94083,0.77033,0.51134,0.61845,0.44425,0.77033,0.51134,0.62442,0.27525,0.87787,2.42017,1.19493,0.99246,0.0011719,0.0011719,0.0011719
17,184.694,0.87489,1.52897,0.79404,0.93503,0.92296,0.575,0.6627,0.47799,0.91495,0.56744,0.66151,0.32324,0.95217,2.58305,1.06059,1.01918,0.00113889,0.00113889,0.00113889
18,193.521,0.86978,1.50526,0.70831,0.94763,0.86852,0.58316,0.7334,0.5202,0.88396,0.56744,0.69945,0.30732,1.0023,2.8883,0.97162,0.98418,0.00110589,0.00110589,0.00110589
19,202.146,0.90772,1.57177,0.74086,0.94115,0.80852,0.43721,0.60254,0.46986,0.78463,0.41395,0.56175,0.28037,0.86443,2.11347,1.23441,0.9377,0.00107288,0.00107288,0.00107288
20,211.128,0.90621,1.40841,0.69686,0.93383,0.82915,0.48329,0.6173,0.4778,0.79845,0.44726,0.58853,0.29406,0.92657,2.13327,1.3724,0.97104,0.00103987,0.00103987,0.00103987
21,219.973,0.85582,1.3771,0.65562,0.91621,0.85837,0.5463,0.62511,0.4488,0.44414,0.53721,0.54555,0.27288,0.98058,2.3063,0.99343,0.96249,0.00100687,0.00100687,0.00100687
22,228.718,0.8139,1.29873,0.62113,0.90239,0.84272,0.54884,0.66077,0.48273,0.83319,0.52347,0.62022,0.28488,0.86906,2.1458,0.95798,0.95408,0.000973861,0.000973861,0.000973861
23,237.348,0.79047,1.33145,0.60533,0.90265,0.81217,0.66004,0.68862,0.53866,0.78358,0.62026,0.6511,0.29158,0.91632,2.24476,0.89471,0.97383,0.000940855,0.000940855,0.000940855
24,266.317,0.75145,1.23157,0.59265,0.89669,0.89782,0.62558,0.72386,0.5719,0.89782,0.62558,0.70645,0.30958,0.86109,2.40449,0.83798,0.95808,0.000907848,0.000907848,0.000907848
25,275.129,0.76952,1.20467,0.59407,0.90203,0.90623,0.57907,0.72105,0.56632,0.90623,0.57907,0.70838,0.35118,0.81552,2.28766,0.82113,0.93034,0.000874842,0.000874842,0.000874842
26,283.881,0.76699,1.25755,0.58202,0.8864,0.8922,0.61995,0.68895,0.53576,0.8922,0.61995,0.66348,0.33316,0.87845,2.17201,0.86261,0.95519,0.000841835,0.000841835,0.000841835
27,292.299,0.74824,1.21574,0.57947,0.88221,0.81805,0.60799,0.71928,0.5474,0.81805,0.60799,0.70389,0.31799,0.8568,2.08308,0.87432,0.94356,0.000808828,0.000808828,0.000808828
28,301.027,0.71753,1.18127,0.5645,0.88318,0.89497,0.71395,0.76241,0.57905,0.89497,0.71395,0.74076,0.30899,0.85553,1.94187,0.84364,0.96572,0.000775822,0.000775822,0.000775822
29,309.666,0.68712,1.11772,0.53549,0.88485,0.83573,0.68032,0.75821,0.57708,0.82145,0.65248,0.74435,0.32669,0.86207,2.06656,0.79823,0.97064,0.000742815,0.000742815,0.000742815
30,318.457,0.73578,1.19385,0.56116,0.8848,0.80607,0.74149,0.78231,0.58827,0.80607,0.74149,0.77812,0.34354,0.86153,2.34458,0.80359,0.94898,0.000709809,0.000709809,0.000709809
31,327.217,0.70234,1.13882,0.53557,0.86956,0.91498,0.7164,0.78624,0.58867,0.91498,0.7164,0.77326,0.3067,0.86833,2.49275,0.78676,0.95172,0.000676802,0.000676802,0.000676802
32,335.964,0.70237,1.15378,0.54258,0.87828,0.85208,0.77137,0.78582,0.59068,0.83063,0.74841,0.76979,0.31915,0.83011,2.46997,0.80511,0.93671,0.000643795,0.000643795,0.000643795
33,344.716,0.66343,1.03815,0.5043,0.87574,0.857,0.77684,0.79559,0.59489,0.82415,0.74252,0.7706,0.31851,0.86861,2.33978,0.77745,0.95569,0.000610789,0.000610789,0.000610789
34,353.478,0.68927,1.06148,0.50938,0.86282,0.86167,0.66159,0.76301,0.57119,0.85595,0.64104,0.73263,0.31025,0.85531,2.24085,0.78627,0.96361,0.000577782,0.000577782,0.000577782
35,362.239,0.65884,1.0378,0.51295,0.85646,0.87491,0.66508,0.73026,0.55134,0.84506,0.66047,0.68535,0.30541,0.833,2.12829,0.89499,0.94875,0.000544776,0.000544776,0.000544776
36,371.094,0.70577,1.09453,0.51859,0.86836,0.83928,0.67209,0.70627,0.54877,0.82918,0.66047,0.68858,0.31988,0.82953,2.09288,0.82629,0.93882,0.000511769,0.000511769,0.000511769
37,379.789,0.64393,1.01838,0.48331,0.85148,0.829,0.62624,0.67408,0.51107,0.85038,0.65095,0.68147,0.32115,0.90558,2.19569,0.86211,0.95257,0.000478762,0.000478762,0.000478762
38,388.415,0.63759,1.0519,0.4734,0.86106,0.88802,0.66047,0.69416,0.53482,0.88802,0.66047,0.68839,0.33299,0.87924,2.15398,0.84164,0.94855,0.000445756,0.000445756,0.000445756
39,397.225,0.60469,0.97393,0.4566,0.85347,0.89118,0.616,0.69797,0.56966,0.90593,0.62797,0.70542,0.32903,0.79007,1.96653,0.76373,0.9274,0.000412749,0.000412749,0.000412749
40,406.009,0.6105,0.99175,0.45385,0.8442,0.89684,0.61395,0.70505,0.58392,0.9081,0.62558,0.69168,0.32723,0.79421,1.98505,0.76214,0.91966,0.000379743,0.000379743,0.000379743
41,437.545,0.64967,1.05084,0.50749,0.85318,0.77034,0.74124,0.77586,0.59172,0.6912,0.75464,0.74377,0.36175,0.80056,2.18766,0.7675,0.91329,0.000346736,0.000346736,0.000346736
42,448.431,0.599,0.97155,0.45227,0.83963,0.91476,0.66637,0.76826,0.60271,0.91476,0.66637,0.77104,0.33768,0.79765,2.24724,0.80552,0.91622,0.000313729,0.000313729,0.000313729
43,457.054,0.60923,1.03451,0.47582,0.85402,0.90679,0.71911,0.76585,0.59316,0.90709,0.58836,0.66113,0.32376,0.82609,2.23147,0.80196,0.92552,0.000280723,0.000280723,0.000280723
44,465.698,0.61244,0.97561,0.45865,0.82641,0.88842,0.74266,0.78563,0.62316,0.89123,0.73942,0.77475,0.32014,0.81553,2.13842,0.72477,0.92639,0.000247716,0.000247716,0.000247716
45,474.318,0.59399,0.997,0.43033,0.84025,0.84869,0.694,0.7677,0.60508,0.83541,0.68372,0.74582,0.3084,0.80209,2.11079,0.72397,0.92422,0.00021471,0.00021471,0.00021471
46,483.143,0.60736,0.98792,0.43836,0.82643,0.82121,0.69535,0.74605,0.58445,0.8043,0.68372,0.72652,0.31577,0.79793,2.07596,0.73145,0.92559,0.000181703,0.000181703,0.000181703
47,491.993,0.57685,0.97108,0.41961,0.83891,0.84294,0.63661,0.7128,0.55204,0.86361,0.64512,0.70102,0.34931,0.80985,2.03301,0.73397,0.93458,0.000148696,0.000148696,0.000148696
48,500.822,0.59247,0.98748,0.42176,0.84406,0.83226,0.65252,0.70932,0.5505,0.87861,0.6334,0.70359,0.34882,0.81387,2.04818,0.74887,0.93748,0.00011569,0.00011569,0.00011569
49,509.625,0.57016,0.90539,0.40218,0.83471,0.90118,0.65877,0.68141,0.54362,0.89269,0.66047,0.67159,0.32423,0.8173,2.1264,0.79187,0.93526,8.26832e-05,8.26832e-05,8.26832e-05
50,518.164,0.55815,0.87923,0.39838,0.81302,0.88065,0.64719,0.68004,0.54323,0.8744,0.6527,0.6672,0.32626,0.82565,2.14606,0.7866,0.93363,4.96766e-05,4.96766e-05,4.96766e-05
