epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4013,0.95919,1.68972,2.2071,0.93596,0.86173,0.73721,0.78367,0.63215,0.84876,0.72558,0.73856,0.26284,0.79654,1.95099,1.59296,0.88092,0.00018337,0.00018337,0.00018337
2,32.8782,0.90684,1.65628,1.30414,0.96207,0.87066,0.71862,0.78208,0.60432,0.85453,0.70714,0.74569,0.34299,0.78304,1.91514,1.34132,0.9255,0.000375818,0.000375818,0.000375818
3,49.252,0.94031,1.69304,1.07219,0.97731,0.53733,0.74884,0.57895,0.39474,0.64013,0.58131,0.69233,0.30014,0.97331,1.95185,2.03012,0.98992,0.000560345,0.000560345,0.000560345
4,60.4478,0.94461,1.69766,1.00172,0.96804,0.59718,0.61395,0.54933,0.42962,0.59718,0.61395,0.54901,0.2006,0.82434,2.24442,2.48107,0.98656,0.000736951,0.000736951,0.000736951
5,71.8345,0.9053,1.60307,1.1384,0.94367,0.80437,0.56744,0.60933,0.41937,0.80437,0.56744,0.60106,0.24985,0.9676,2.74098,2.46517,0.99991,0.000905634,0.000905634,0.000905634
6,83.3049,0.92555,1.70353,1.1445,0.96037,0.72367,0.57025,0.69074,0.46086,0.72367,0.57025,0.62119,0.1915,1.03671,3.78931,1.91222,1.03591,0.0010664,0.0010664,0.0010664
7,94.9486,1.00124,1.92867,0.96401,0.99379,0.78071,0.57772,0.58902,0.39918,0.78071,0.57772,0.57678,0.21486,1.02041,2.70103,1.8859,1.04196,0.00121924,0.00121924,0.00121924
8,106.041,1.03064,2.0925,1.06925,0.96722,0.75279,0.60872,0.62821,0.37788,0.75279,0.60872,0.58577,0.23558,1.06796,2.61235,2.27082,1.11922,0.00136416,0.00136416,0.00136416
9,114.598,1.13205,2.21533,1.12898,1.01315,0.7037,0.66618,0.63922,0.43712,0.7037,0.66618,0.62753,0.23418,1.04673,3.321,2.07289,1.02106,0.00140295,0.00140295,0.00140295
10,123.309,1.02223,1.96924,1.13186,0.98897,0.86855,0.71395,0.73352,0.47977,0.85403,0.70233,0.70739,0.25865,0.97877,2.95271,2.66487,0.96979,0.00136994,0.00136994,0.00136994
